"","X","UniqueID","DateOfBite","Species","Breed","Age","Gender","SpayNeuter","Borough","ZipCode","lon","lat"
"1",1,1,"January 02 2015","DOG","Poodle, Standard","3","M","true","Brooklyn","11238",-73.9624327,40.6805029
"2",2,2,"January 02 2015","DOG","HUSKY","","U","false","Brooklyn","11249",-73.9660683,40.7119031
"3",3,3,"January 02 2015","DOG","","","U","false","Brooklyn","",NA,NA
"4",4,4,"January 01 2015","DOG","American Pit Bull Terrier/Pit Bull","6","M","false","Brooklyn","11221",-73.9271644,40.6903213
"5",5,5,"January 03 2015","DOG","American Pit Bull Terrier/Pit Bull","1","M","false","Brooklyn","11207",-73.8918897,40.6655101
"6",6,6,"January 05 2015","DOG","American Pit Bull Terrier/Pit Bull","1","F","false","Brooklyn","11209",-74.0329499,40.6212119
"7",7,7,"January 04 2015","DOG","MORKIE","1","M","false","Brooklyn","11220",-74.0153231,40.6385229
"8",8,8,"January 05 2015","DOG","Chihuahua","1","M","false","Brooklyn","11237",-73.9212858,40.7043156
"9",9,9,"January 04 2015","DOG","PIT BULL MIXED","","M","false","Brooklyn","11215",-73.9800645,40.6681669
"10",10,10,"January 04 2015","DOG","","","U","false","Brooklyn","11221",-73.9271644,40.6903213
"11",11,11,"January 02 2015","DOG","","","U","false","Brooklyn","",NA,NA
"12",12,12,"January 02 2015","DOG","Cocker Spaniel Crossbreed","","U","false","Brooklyn","11220",-74.0153231,40.6385229
"13",13,13,"January 05 2015","DOG","Shih Tzu","4","F","false","Brooklyn","11205",-73.9565551,40.6945036
"14",14,14,"January 01 2015","DOG","American Pit Bull Terrier/Pit Bull","","U","false","Brooklyn","11220",-74.0153231,40.6385229
"15",15,15,"January 07 2015","DOG","American Pit Bull Terrier/Pit Bull","","U","false","Brooklyn","",NA,NA
"16",16,16,"January 05 2015","DOG","Shih Tzu","3","M","true","Brooklyn","11224",-73.9859414,40.5749261
"17",17,17,"January 09 2015","DOG","Pit Bull","2","M","true","Brooklyn","11213",-73.9389213,40.6722134
"18",18,18,"January 10 2015","DOG","Mixed/Other","7","M","true","Brooklyn","",NA,NA
"19",19,19,"January 10 2015","DOG","Yorkshire Terrier","1","F","false","Brooklyn","11237",-73.9212858,40.7043156
"20",20,20,"January 13 2015","DOG","Dachshund Smooth Coat","12","M","true","Brooklyn","11217",-73.9785952,40.6815619
"21",21,21,"January 12 2015","DOG","American Pit Bull Terrier/Pit Bull","","U","false","Brooklyn","11208",-73.8713099,40.6749343
"22",22,22,"January 16 2015","DOG","American Pit Bull Mix / Pit Bull Mix","2","M","false","Brooklyn","11235",-73.9418603,40.5860069
"23",23,23,"January 12 2015","DOG","Shih Tzu","2","M","false","Brooklyn","11207",-73.8918897,40.6655101
"24",24,24,"January 17 2015","DOG","Chihuahua","7M","M","false","Brooklyn","11213",-73.9389213,40.6722134
"25",25,25,"January 21 2015","DOG","Yorkshire Terrier","8M","M","false","Brooklyn","11206",-73.9418603,40.7047738
"26",26,26,"January 22 2015","DOG","Labrador Retriever","5","M","true","Brooklyn","11229",-73.9447994,40.5988077
"27",27,27,"January 24 2015","DOG","Jindo Dog,","","U","false","Brooklyn","11226",-73.9536163,40.6470923
"28",28,28,"January 27 2015","DOG","Jack Russ","11","M","false","Brooklyn","11217",-73.9785952,40.6815619
"29",29,29,"January 25 2015","DOG","Chow Chow","","U","false","Brooklyn","11209",-74.0329499,40.6212119
"30",30,30,"January 25 2015","DOG","Chihuahua","1","F","false","Brooklyn","11213",-73.9389213,40.6722134
"31",31,31,"January 25 2015","DOG","Mastiff, Bull","","U","false","Brooklyn","",NA,NA
"32",32,32,"January 20 2015","DOG","PIT BULL/GOLDEN RETRIVE X","","U","false","Brooklyn","11236",-73.8948295,40.6387196
"33",33,33,"January 29 2015","DOG","Pit Bull","","U","false","Brooklyn","",NA,NA
"34",34,34,"January 31 2015","DOG","Chihuahua Crossbreed","3","M","false","Brooklyn","",NA,NA
"35",35,35,"January 31 2015","DOG","German Shepherd Crossbreed","","F","false","Brooklyn","11220",-74.0153231,40.6385229
"36",36,36,"January 31 2015","DOG","","","U","false","Brooklyn","",NA,NA
"37",37,37,"January 23 2015","DOG","German Shepherd","4","M","false","Brooklyn","11229",-73.9447994,40.5988077
"38",38,38,"January 31 2015","DOG","","","U","false","Brooklyn","",NA,NA
"39",39,39,"February 04 2015","DOG","Pomeranian","1","F","false","Brooklyn","11216",-73.9506774,40.6788319
"40",40,40,"February 05 2015","DOG","Dalmatian","10","M","true","Brooklyn","11214",-73.9982756,40.6046106
"41",41,41,"February 01 2015","DOG","Rottweiler","","U","false","Brooklyn","11204",-73.9859414,40.6195067
"42",42,42,"February 04 2015","DOG","Rottweiler","","U","false","Brooklyn","11220",-74.0153231,40.6385229
"43",43,43,"February 06 2015","DOG","Shiba Inu","3","M","false","Brooklyn","11252",-74.0278089,40.6111989
"44",44,44,"February 07 2015","DOG","Maltese","","U","false","Brooklyn","11215",-73.9800645,40.6681669
"45",45,45,"February 07 2015","DOG","Pit Bull","5","M","true","Brooklyn","11214",-73.9982756,40.6046106
"46",46,46,"January 27 2015","DOG","","","U","false","Brooklyn","11205",-73.9565551,40.6945036
"47",47,47,"February 06 2015","DOG","Dachshund Smooth Coat","","U","false","Brooklyn","",NA,NA
"48",48,48,"January 27 2015","DOG","Poodle, Standard","","U","false","Brooklyn","11214",-73.9982756,40.6046106
"49",49,49,"February 10 2015","DOG","Welsh Corgi, Pembroke","","U","false","Brooklyn","11204",-73.9859414,40.6195067
"50",50,50,"February 07 2015","DOG","Shiba Inu","","M","false","Brooklyn","11206",-73.9418603,40.7047738
"51",51,51,"February 07 2015","DOG","RAT TERRIER","5","M","true","Brooklyn","11208",-73.8713099,40.6749343
"52",52,52,"January 27 2015","DOG","American Pit Bull Terrier/Pit Bull","2","M","false","Brooklyn","11228",-74.0153231,40.6137658
"53",53,53,"February 11 2015","DOG","Staffordshire Bull Terrier","4","M","false","Brooklyn","11235",-73.9418603,40.5860069
"54",54,54,"February 11 2015","DOG","RAT TERRIER","13","F","true","Brooklyn","11209",-74.0329499,40.6212119
"55",55,55,"February 09 2015","DOG","American Pit Bull Terrier/Pit Bull","10","F","true","Brooklyn","11232",-74.0079781,40.6560436
"56",56,56,"February 12 2015","DOG","German Shepherd","4","M","false","Brooklyn","11229",-73.9447994,40.5988077
"57",57,57,"February 12 2015","DOG","Pit Bull","","U","false","Brooklyn","11237",-73.9212858,40.7043156
"58",58,58,"February 14 2015","DOG","Akita","","M","false","Brooklyn","11237",-73.9212858,40.7043156
"59",59,59,"February 14 2015","DOG","","","U","false","Brooklyn","11205",-73.9565551,40.6945036
"60",60,60,"February 15 2015","DOG","BULL DOG X","","M","false","Brooklyn","11234",-73.9065883,40.6007956
"61",61,61,"February 15 2015","DOG","Pit Bull","","U","false","Brooklyn","11234",-73.9065883,40.6007956
"62",62,62,"February 13 2015","DOG","American Pit Bull Terrier/Pit Bull","4","M","true","Brooklyn","11221",-73.9271644,40.6903213
"63",63,63,"February 17 2015","DOG","Chihuahua","","U","false","Brooklyn","11218",-73.9800645,40.6483744
"64",64,64,"February 15 2015","DOG","American Pit Bull Mix / Pit Bull Mix","1","M","false","Brooklyn","11207",-73.8918897,40.6655101
"65",65,65,"February 12 2015","DOG","Mastiff, Old English","","U","false","Brooklyn","11231",-74.0094471,40.6772802
"66",66,66,"February 18 2015","DOG","Yorkshire Terrier","3","M","false","Brooklyn","11233",-73.9212858,40.6795939
"67",67,67,"February 17 2015","DOG","American Pit Bull Terrier/Pit Bull","5","M","false","Brooklyn","11207",-73.8918897,40.6655101
"68",68,68,"February 19 2015","DOG","SPRINGER SPANIEL","7","U","true","Brooklyn","11213",-73.9389213,40.6722134
"69",69,69,"February 21 2015","DOG","Pit Bull","","U","false","Brooklyn","11217",-73.9785952,40.6815619
"70",70,70,"February 06 2015","DOG","Shiba Inu","3","M","false","Brooklyn","",NA,NA
"71",71,71,"February 12 2015","DOG","Pit Bull","","U","false","Brooklyn","11224",-73.9859414,40.5749261
"72",72,72,"February 22 2015","DOG","Pit Bull","10","M","true","Brooklyn","11235",-73.9418603,40.5860069
"73",73,73,"February 24 2015","DOG","Pit Bull","1","F","false","Brooklyn","11215",-73.9800645,40.6681669
"74",74,74,"February 24 2015","DOG","Pit Bull","10","F","true","Brooklyn","11210",-73.9447994,40.6285158
"75",75,75,"February 24 2015","DOG","WESTIE","","U","false","Brooklyn","11234",-73.9065883,40.6007956
"76",76,76,"February 22 2015","DOG","Pit Bull","","U","false","Brooklyn","",NA,NA
"77",77,77,"February 21 2015","DOG","Pit Bull","","U","false","Brooklyn","11231",-74.0094471,40.6772802
"78",78,78,"February 26 2015","DOG","Pit Bull","","U","false","Brooklyn","11206",-73.9418603,40.7047738
"79",79,79,"February 22 2015","DOG","FOX HOUND","3","F","true","Brooklyn","11209",-74.0329499,40.6212119
"80",80,80,"February 23 2015","DOG","Pit Bull","","U","false","Brooklyn","",NA,NA
"81",81,81,"February 26 2015","DOG","Pit Bull","1","M","false","Brooklyn","11226",-73.9536163,40.6470923
"82",82,82,"February 28 2015","DOG","Weimaraner","11","M","true","Brooklyn","11230",-73.9653715,40.6190629
"83",83,83,"February 26 2015","DOG","German Shepherd","","U","false","Brooklyn","11220",-74.0153231,40.6385229
"84",84,84,"February 01 2015","DOG","Rottweiler","","U","false","Brooklyn","11215",-73.9800645,40.6681669
"85",85,85,"March 01 2015","DOG","American Pit Bull Mix / Pit Bull Mix","6","F","true","Brooklyn","11225",-73.9565551,40.6648278
"86",86,86,"February 28 2015","DOG","American Pit Bull Mix / Pit Bull Mix","2","M","false","Brooklyn","11228",-74.0153231,40.6137658
"87",87,87,"February 10 2015","DOG","American Pit Bull Terrier/Pit Bull","","U","false","Brooklyn","11221",-73.9271644,40.6903213
"88",88,88,"March 03 2015","DOG","","","U","false","Brooklyn","11235",-73.9418603,40.5860069
"89",89,89,"March 04 2015","DOG","Jindo Dog,","","M","true","Brooklyn","11215",-73.9800645,40.6681669
"90",90,90,"March 06 2015","DOG","American Pit Bull Mix / Pit Bull Mix","10","F","false","Brooklyn","11206",-73.9418603,40.7047738
"91",91,91,"March 07 2015","DOG","Bull Dog, English","2","M","true","Brooklyn","11201",-73.9859414,40.6986772
"92",92,92,"February 27 2015","DOG","American Pit Bull Terrier/Pit Bull","3","M","false","Brooklyn","11206",-73.9418603,40.7047738
"93",93,93,"March 07 2015","DOG","BULLDOG/SHARPEI","11","M","true","Brooklyn","11233",-73.9212858,40.6795939
"94",94,94,"March 08 2015","DOG","Shih Tzu","4","M","false","Brooklyn","11234",-73.9065883,40.6007956
"95",95,95,"March 10 2015","DOG","COCKER/CORGI X","","M","false","Brooklyn","11201",-73.9859414,40.6986772
"96",96,96,"March 06 2015","DOG","Pit Bull","","U","false","Brooklyn","",NA,NA
"97",97,97,"March 12 2015","DOG","Jack Russ","7M","M","false","Brooklyn","11208",-73.8713099,40.6749343
"98",98,98,"March 12 2015","DOG","Shih Tzu","","U","false","Brooklyn","11217",-73.9785952,40.6815619
"99",99,99,"February 26 2015","DOG","Pit Bull","2","M","false","Brooklyn","11216",-73.9506774,40.6788319
"100",100,100,"March 13 2015","DOG","Pug","6","M","true","Brooklyn","11231",-74.0094471,40.6772802
"101",101,101,"March 15 2015","DOG","Yorkshire Terrier","4","M","false","Brooklyn","11205",-73.9565551,40.6945036
"102",102,102,"March 14 2015","DOG","Chow Chow","3","M","false","Brooklyn","11234",-73.9065883,40.6007956
"103",103,103,"March 15 2015","DOG","American Staffordshire Terrier","8","M","true","Brooklyn","11230",-73.9653715,40.6190629
"104",104,104,"March 14 2015","DOG","SHEPHERD MIX","5","M","true","Brooklyn","11229",-73.9447994,40.5988077
"105",105,105,"March 16 2015","DOG","Maltese","7","M","true","Brooklyn","11221",-73.9271644,40.6903213
"106",106,106,"March 18 2015","DOG","American Pit Bull Terrier/Pit Bull","5","M","true","Brooklyn","11207",-73.8918897,40.6655101
"107",107,107,"March 16 2015","DOG","Yorkshire Terrier","1","M","false","Brooklyn","11221",-73.9271644,40.6903213
"108",108,108,"March 14 2015","DOG","Cocker Spaniel","","U","false","Brooklyn","11213",-73.9389213,40.6722134
"109",109,109,"March 16 2015","DOG","American Pit Bull Mix / Pit Bull Mix","2","M","true","Brooklyn","11234",-73.9065883,40.6007956
