"","X.3","X.2","X.1","X","Prop_ID","Name","Address","DogRuns_Type","Accessible","Notes","plot_name","lon","lat","Zipcode","Borough"
"1",1,12,12,12,"X039","Pelham Bay Park Off-Leash Area","Middletown Road & Stadium Avenue, northwest of parking lot.","Off-Leash","N","The dog run at Pelham Bay Park is close to Watt Avenue and Middletown Road.  Both streets merge at the entrance to the parking lot on Middletown Road. The dog run is about 100 yards east of that point.<br><a href=""http://nycgovparks.org/parks/X039/map/pelhambay_dogonleasharea.pdf"">Please download our map of permitted on-leash dog areas.</a>","Pelham Bay Park , New York ",-73.8091736,40.8654997,"10465","Bornx"
"2",2,18,18,18,"X044","St. James Park Off-Leash Area","92nd & Jerome Avenue","Off-Leash","N","St. James closes at 9:00 p.m. and opens at 7:00 a.m. Therefore, the off-leash policy only applies between 7:00 a.m. and 9:00 a.m.","St. James Park , New York ",-73.897798,40.8650996,"10468","Bornx"
"3",3,24,24,24,"B080","Asser Levy Park Off-Leash Area","Surf Avenue, Sea Breeze Avenue, West 5th Street, Ocean Parkway","Off-Leash","N","","Asser Levy Park , New York ",-73.9713897,40.5751863,"11224","Brooklyn"
"4",4,25,25,25,"B247","Breukelen Park Off-Leash Area","All areas excluding the playground and ballfields","Off-Leash","N","","Breukelen Park , New York ",-73.8914313,40.6509784,"11207","Brooklyn"
"5",5,27,27,27,"B113A","Brooklyn War Memorial Off-Leash Area","Cadman Plaza Park, Cadman Plaza West & East & Prospect Street ","Off-Leash","N","","Brooklyn War Memorial , New York ",-73.9906703,40.6984595,"11201","Brooklyn"
"6",6,28,28,28,"B018","Canarsie Park Off-Leash Area","All areas excluding the playground, ballfields, and Natural Areas.","Off-Leash","N","","Canarsie Park , New York ",-73.8953492,40.6276987,"11236","Brooklyn"
"7",7,29,29,29,"B025","Cooper Park Dog Run","Olive Street and Maspeth Avenue","Run","N","","Cooper Park , New York ",-73.937229,40.715946,"11211","Brooklyn"
"8",8,30,30,30,"B223B","DiMattina Park Dog Run","Hicks & Woodhull streets","Run","N","","DiMattina Park , New York ",-74.003065,40.6795368,"11231","Brooklyn"
"9",9,34,34,34,"B372","Friends Field Park Off-Leash Area","East 4th Street, Avenue L, and McDonald Avenue","Off-Leash","N","","Friends Field Park , New York ",-73.9728811,40.6185597,"11230","Brooklyn"
"10",10,35,35,35,"B038","Fulton Park Off-Leash Area","","Off-Leash","N","","Fulton Park , New York ",-73.9328673,40.6797339,"11233","Brooklyn"
"11",11,36,36,36,"B401","Grand Ferry Park Off-Leash Area","","Off-Leash","N","","Grand Ferry Park , New York ",-73.9671392,40.7166727,"11211","Brooklyn"
"12",12,37,37,37,"B088","Herbert Von King Park Dog Run","Marcy Avenue & Lafayette Avenue","Run","N","","Herbert Von King Park , New York ",-73.946732,40.689612,"11216","Brooklyn"
"13",13,38,38,38,"B223G","Hillside Park Dog Run","Columbia Heights & Middagh Street","Run","N","","Hillside Park , New York ",-73.9943804,40.701511,"11201","Brooklyn"
"14",14,39,39,39,"B111","J.J. Byrne Memorial Park Dog Run","3rd to 4th streets, 4th to 5th avenues","Run","N","","J.J. Byrne Memorial Park , New York ",-73.9840273,40.6727125,"11215","Brooklyn"
"15",15,40,40,40,"B035","John Paul Jones Park Off-Leash Area","4th Avenue and 101st Street ","Off-Leash","N","","John Paul Jones Park , New York ",-74.0340919,40.6108083,"11209","Brooklyn"
"16",16,41,41,41,"B129","Kaiser Park Off-Leash Area","Neptune Avenue between West 24th Street & Bayview Avenue, Coney Island Creek","Off-Leash","N","","Kaiser Park , New York ",-73.9956557,40.5790202,"11224","Brooklyn"
"17",17,42,42,42,"B052","Leif Ericson Park Off-Leash Area","67th Street between 6th Avenue and 7th Avenue","Off-Leash","N","","Leif Ericson Park , New York ",-74.0229794,40.6372953,"11220","Brooklyn"
"18",18,43,43,43,"B054","Lincoln Terrace Park Off-Leash Area","Eastern Parkway between Buffalo and Rochester avenues","Off-Leash","N","","Lincoln Terrace Park , New York ",-73.9272053,40.6668637,"11213","Brooklyn"
"19",19,44,44,44,"B223S","Macri Square Park Off-Leash Area","Union Turnpike and Metropolitan Avenue","Off-Leash","N","Off-leash dogs are permitted throughout this small park.","Macri Square Park , New York ",-73.952,40.7143687,"11211","Brooklyn"
"20",20,45,45,45,"B251","Manhattan Beach Dog Run","East of Ocean Avenue, North Shore Rockaway inlet","Run","N","","Manhattan Beach , New York ",-73.9389213,40.578158,"United States","None"
"21",21,46,46,46,"B057","Marine Park Off-Leash Area","All areas excluding the playgrounds, ballfields, and Natural Areas.","Off-Leash","N","","Marine Park , New York ",-73.9331865,40.6113817,"United States","None"
"22",22,47,47,47,"B058","McCarren Park Dog Run","North 12th Street, Driggs Avenue and Union Avenue","Run","N","","McCarren Park , New York ",-73.9526361,40.7213441,"11222","Brooklyn"
"23",23,48,48,48,"B114","McGolrick Park Dog Run","North Henry Street and Driggs Avenue","Run","N","","McGolrick Park , New York ",-73.9433497,40.7244763,"11222","Brooklyn"
"24",24,49,49,49,"B060","McKinley Park Off-Leash Area","Fort Hamilton Parkway, 7th Avenue, 73rd Street to 75th Street","Off-Leash","N","","McKinley Park , New York ",-74.0165907,40.6269162,"11228","Brooklyn"
"25",25,50,50,50,"B159","Mount Prospect Park Off-Leash Area","Eastern Parkway between Washington and Underhill avenues","Off-Leash","N","","Mount Prospect Park , New York ",-73.9667524,40.6717046,"11238","Brooklyn"
"26",26,51,51,51,"B066","Owls Head Park Dog Run","68th Street and Shore Road","Run","N","","Owls Head Park , New York ",-74.0322927,40.6401241,"11220","Brooklyn"
"27",27,53,53,53,"B073","Prospect Park Off-Leash Area","Middle & Upper Long Meadow (excludes ballfield area in the Lower Long Meadow), Nethermead, Peninsula.","Off-Leash","N","","Prospect Park , New York ",-73.9689558,40.6602037,"11225","Brooklyn"
"28",28,54,54,54,"B082","Shore Road Park Off-Leash Area","Shore Road, 4th Avenue to 69th Street ","Off-Leash","N","","Shore Road Park , New York ",-74.0399331,40.6281052,"United States","None"
"29",29,55,55,55,"B087","Sunset Park Off-Leash Area","Sunset Park Oval lawn area only, center of park 44th Street, 41st Street, 6th Avenue","Off-Leash","N","","Sunset Park , New York ",-74.0093348,40.65272,"United States","None"
"30",30,56,56,56,"M081","Carl Schurz Park Dog Run (2 runs)","East End Avenue to East River from Gracie Square (East 84th Street) to 89th Street","Run","N","","Carl Schurz Park (2 runs) , New York ",-73.9436973,40.7751302,"10028","Manhatten"
"31",31,57,57,57,"M010","Central Park Off-Leash Area","Though there are no enclosed dog runs, there are 23 particularly dog-friendly areas scattered throughout the Park.","Off-Leash","N","Please see Central Park Conservancy's <a href=""http://assets.centralparknyc.org/pdfs/about/Dog_Owner_Guide_to_Central_Park.pdf"">Dog-Friendly Areas</a> document for details.","Central Park , New York ",-73.9653551,40.7828647,"United States","None"
"32",32,58,58,58,"M","Chelsea Waterside Park Dog Run","11th Ave and 22nd Street","Run","N","<em>*Please note: this dog run is administered by the Hudson River Park Trust.</em>
<br /><a href=""http://www.hudsonriverpark.org/explore/dogruncw.html"">More information.</a>","Chelsea Waterside Park , New York ",-74.0074272,40.7494531,"10011","Manhatten"
"33",33,59,59,59,"M019","Coleman Oval Park Dog Run","Pike and Monroe streets","Run","N","","Coleman Oval Park , New York ",-73.9932397,40.7111792,"10002","Manhatten"
"34",34,61,61,61,"M291","Fish Bridge Park Dog Run","Dover Street, between Pearl & Water Street","Run","N","","Fish Bridge Park , New York ",-74.0030941,40.6938567,"11201","Brooklyn"
"35",35,62,62,62,"M029","Fort Tryon Park Dog Run","Margaret Corbin Drive","Run","N","<a href=""http://www.ftdog.org/"">More information.</a>","Fort Tryon Park , New York ",-73.9312995,40.8625608,"10040","Manhatten"
"36",36,64,64,64,"M037","Highbridge Park Dog Run","Amsterdam and Fort George avenues","Run","N","<a href=""http://www.highbridgek9club.org/"">More Information</a>.","Highbridge Park , New York ",-73.9329638,40.8446296,"10033","Manhatten"
"37",37,65,65,65,"M","Hudson River Park Dog Run (Greenwich Village)","Leroy Street at the northeast corner of Pier 40","Run","N","<a href=""http://www.hudsonriverpark.org/explore/dogrunleroyst.html"">More information.</a>","Hudson River Park (Greenwich Village) , New York ",-74.0108977,40.7331168,"10011","Manhatten"
"38",38,66,66,66,"M","Hudson River Park Dog Run (North Chelsea)","Pier 84 at West 44th Street","Run","N","<a href=""http://www.hudsonriverpark.org/explore/dogrunpier84.html"">More information.</a>","Hudson River Park (North Chelsea) , New York ",-74.0088962,40.7468821,"10001","Manhatten"
"39",39,67,67,67,"M042","Inwood Hill Park Dog Run: Homer's Run","Seaman Avenue & Isham Street","Run","N","Seaman Avenue & Isham Street, just north of the flagpole. More information at <a href=""http://www.inwoof.com/"">www.inwoof.com </a>.","Inwood Hill Park: Homer's Run , New York ",-73.9255549,40.8722007,"10034","Manhatten"
"40",40,68,68,68,"M099","J. Hood Wright Park Dog Run","Fort Washington & Haven Avenues, West 173rd Street","Run","N","","J. Hood Wright Park , New York ",-73.941493,40.8463679,"10033","Manhatten"
"41",41,69,69,69,"M052","Madison Square Park Dog Run","Madison Avenue to 5th Avenue between East 23rd Street & East 26th Street","Run","N","","Madison Square Park , New York ",-73.9877701,40.7425999,"10010","Manhatten"
"42",42,70,70,70,"M058","Marcus Garvey Park Dog Run","Madison Avenue and East 120th Street","Run","N","","Marcus Garvey Park , New York ",-73.9437629,40.8044257,"10027","Manhatten"
"43",43,71,71,71,"M056","Morningside Park Dog Run","Morningside Avenue between 114th and 119th streets","Run","N","","Morningside Park , New York ",-73.9585391,40.8060712,"10026","Manhatten"
"44",44,72,72,72,"M108N","Peter Detmold Park Dog Run","West of FDR Drive, between East 49th & East 51st streets","Run","N","","Peter Detmold Park , New York ",-73.96409,40.753123,"10022","Manhatten"
"45",45,73,73,73,"M104","Randalls Island Park Off-Leash Area","Except for areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.","Off-Leash","N","Off-leash hours for the island are before 9:00 a.m. and after 9:00 p.m.","Randalls Island Park , New York ",-73.922517,40.795813,"10035","Manhatten"
"46",46,74,74,74,"M071","Riverside Park Dog Run (3 runs)","Riverside Drive at West 72nd, West 87th, West 105th","Run","N","<a href=""http://nycgovparks.org/sub_your_park/vt_riverside_park/images/dog_owners_guide_riverside_park.pdf"">Dog Owners' Guide to Riverside Park </a>","Riverside Park (3 runs) , New York ",-73.9723096,40.8012339,"United States","None"
"47",47,75,75,75,"M158","Robert Moses Park Dog Run","41st & 42nd streets at 1st Avenue","Run","N","","Robert Moses Park , New York ",-73.9692285,40.7480467,"10016","Manhatten"
"48",48,76,76,76,"M077","St. Nicholas Park Dog Run","St Nicholas Avenue to St. Nicholas Terrace, West 128th to West 141 streets","Run","N","","St. Nicholas Park , New York ",-73.9487476,40.8174689,"10030","Manhatten"
"49",49,77,77,77,"M053","Theodore Roosevelt Park Dog Run","Central Park West at West 81st Street","Run","N","","Theodore Roosevelt Park , New York ",-73.9747602,40.7818509,"10024","Manhatten"
"50",50,78,78,78,"M047","Thomas Jefferson Park Dog Run","East 112th Street and FDR Drive","Run","N","","Thomas Jefferson Park , New York ",-73.9352473,40.7933657,"10029","Manhatten"
"51",51,80,80,80,"M089","Union Square Dog Run","15th Street & Union Square West","Run","N","","Union Square , New York ",-73.9910835,40.7358633,"10003","Manhatten"
"52",52,81,81,81,"M098","Washington Square Park Dog Run","5th Avenue, Waverly Place, West 4th Street, between McDougal & Thompson streets, south side of the park (behind building)","Run","N","","Washington Square Park , New York ",-73.997332,40.7308228,"10012","Manhatten"
"53",53,82,82,82,"Q001","Alley Pond Park Off-Leash Area","Grand Central Parkway/Winchester Boulevard/Kingsbury Avenue","Off-Leash","N","","Alley Pond Park , New York ",-73.7384341,40.7423947,"11364","Queens"
"54",54,83,83,83,"Q004","Astoria Park Off-Leash Area","","Off-Leash","N","","Astoria Park , New York ",-73.9229654,40.7792459,"11105","Queens"
"55",55,84,84,84,"Q005","Baisley Pond Park Off-Leash Area","Between119th and 123rd avenues","Off-Leash","N","","Baisley Pond Park , New York ",-73.786025,40.6737751,"11434","Queens"
"56",56,86,86,86,"Q007","Bayswater Park Off-Leash Area","","Off-Leash","N","","Bayswater Park , New York ",-73.7691138,40.599056,"11691","Queens"
"57",57,88,88,88,"Q021","Cunningham Park Dog Run","193rd Street between Aberdeen Road & Radnor Road","Run","N","","Cunningham Park , New York ",-73.7742339,40.7291208,"11366","Queens"
"58",58,89,89,89,"Q099","Flushing Meadows Corona Park Off-Leash Area","","Off-Leash","N","","Flushing Meadows Corona Park , New York ",-73.840785,40.7397136,"United States","None"
"59",59,90,90,90,"Q015","Forest Park Off-Leash Area","85 Street and 84 Street and Park Lane South","Off-Leash","N","","Forest Park , New York ",-73.8459102,40.7040764,"11421","Queens"
"60",60,91,91,91,"Q015","Forest Park Dog Run","Park Lane South & 85th Street ","Run","N","","Forest Park , New York ",-73.8459102,40.7040764,"11421","Queens"
"61",61,92,92,92,"Q102","Juniper Valley Park Off-Leash Area","","Off-Leash","N","","Juniper Valley Park , New York ",-73.8796412,40.720497,"11379","Queens"
"62",62,93,93,93,"Q393D","La Guardia Landing Lights Off-Leash Area","","Off-Leash","N","","La Guardia Landing Lights , New York ",-73.8891798,40.7634824,"11370","Queens"
"63",63,94,94,94,"Q393D","Landing Lights Off-Leash Area","Grand Central Parkway, 81 Street & 82 Street & Astoria Boulevard, 23 Avenue 84, 24 thru 30 Avenues, 77 Street through 81 Street","Off-Leash","N","","Landing Lights , New York ",-73.8891797,40.7634822,"11370","Queens"
"64",64,95,95,95,"Q010A","Little Bay Park Dog Run","North side of the Cross Island Parkway & Utopia Parkway","Run","N","","Little Bay Park , New York ",-73.7889647,40.7897211,"11357","Queens"
