"","X","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate","BirthYear","BirthMonth","LicenseIssuedYear","LicenseIssuedMonth","LicenseExpiredYear","LicenseExpiredMonth","index"
"80",16112,"RANGER","M",2014-06-01,"German Shepherd Dog","Queens",11414,410,"884","QN57",32,8,15,2014-09-01,"09/27/2019","2014","06","2014","09","2019","09",1
"81",33110,"RICKY","M",2014-07-01,"German Shepherd Dog","Brooklyn",11220,307,"74","BK32",38,7,20,2014-09-01,"09/13/2017","2014","07","2014","09","2017","09",2
"82",62129,"JAMPY","M",2014-08-01,"American Pit Bull Mix / Pit Bull Mix","Manhattan",10009,103,"20","MN28",2,7,26,2014-10-01,"10/25/2019","2014","08","2014","10","2019","10",3
"83",57170,"ZACHARY","M",2014-01-01,"Yorkshire Terrier","Brooklyn",11205,302,"197","BK69",35,8,25,2015-01-01,"01/17/2020","2014","01","2015","01","2020","01",4
"84",92838,"LIL","M",2014-02-01,"Cairn Terrier","Manhattan",10029,111,"178","MN34",8,13,29,2015-01-01,"09/09/2016","2014","02","2015","09","2016","09",5
"85",39711,"BELLA","F",2014-04-01,"American Pit Bull Terrier/Pit Bull","Brooklyn",11220,310,"132","BK30",43,11,22,2015-01-01,"01/05/2016","2014","04","2015","01","2016","01",6
"86",62239,"ROXY","F",2014-05-01,"French Bulldog","Manhattan",10280,101,"31704","MN25",1,10,26,2015-01-01,"01/02/2016","2014","05","2015","01","2016","01",7
"87",81789,"REXI","M",2014-06-01,"Poodle, Toy","Manhattan",10075,108,"134","MN31",5,12,28,2015-01-01,"01/21/2016","2014","06","2015","01","2016","01",8
"88",39748,"UNKNOWN","F",2014-07-01,"Labrador Retriever Crossbreed","Brooklyn",11214,311,"180","BK27",43,11,22,2015-01-01,"01/18/2016","2014","07","2015","01","2016","01",9
"89",11295,"NUBIAN","F",2014-07-01,"Labrador Retriever","Queens",11369,403,"339","QN28",22,14,13,2015-01-01,"01/02/2016","2014","07","2015","01","2016","01",10
